commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
fff7fb83aeb5bfbcb223bc7d7cfd939f57fb62af,2019-12-21 01:10:47+00:00,[],"['@types/node', 'ts-node', 'typescript']",,,"{'added': [], 'removed': []}","{'added': ['@types/node', 'ts-node', 'typescript'], 'removed': []}"
cf35ca4de27c91741fa385cdb3d4214f30679db1,2019-12-21 01:26:13+00:00,[],"['@types/node', 'ts-node', 'typescript']",[],"['@types/node', 'ts-node', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
3440eff7af7def6ea75ee8fdfba5d97ae67ff8a9,2019-12-24 18:05:17+00:00,"['inquirer', 'jsdom', 'node-fetch']","['@types/inquirer', '@types/jsdom', '@types/node', '@types/node-fetch', 'ts-node', 'typescript']",[],"['@types/node', 'ts-node', 'typescript']","{'added': ['inquirer', 'jsdom', 'node-fetch'], 'removed': []}","{'added': ['@types/node-fetch', '@types/inquirer', '@types/jsdom'], 'removed': []}"
422cc2f754de4b69aa117ed0c5d5322a9414061e,2019-12-24 22:38:36+00:00,"['cli-spinner', 'inquirer', 'jsdom', 'node-fetch']","['@types/cli-spinner', '@types/inquirer', '@types/jsdom', '@types/node', '@types/node-fetch', 'ts-node', 'typescript']","['inquirer', 'jsdom', 'node-fetch']","['@types/inquirer', '@types/jsdom', '@types/node', '@types/node-fetch', 'ts-node', 'typescript']","{'added': ['cli-spinner'], 'removed': []}","{'added': ['@types/cli-spinner'], 'removed': []}"
b02d4c76684f392ac732714cc181b4afa1d10463,2019-12-29 21:28:16+00:00,"['cli-spinner', 'inquirer', 'jsdom', 'node-fetch', 'progress']","['@types/cli-spinner', '@types/inquirer', '@types/jsdom', '@types/node', '@types/node-fetch', '@types/progress', 'ts-node', 'typescript']","['cli-spinner', 'inquirer', 'jsdom', 'node-fetch']","['@types/cli-spinner', '@types/inquirer', '@types/jsdom', '@types/node', '@types/node-fetch', 'ts-node', 'typescript']","{'added': ['progress'], 'removed': []}","{'added': ['@types/progress'], 'removed': []}"
dbf90a9291d14e0036aa73fdd664eb9652b1c064,2019-12-30 10:36:48+00:00,"['cli-spinner', 'inquirer', 'jsdom', 'node-fetch', 'progress']","['@types/cli-spinner', '@types/inquirer', '@types/jsdom', '@types/node', '@types/node-fetch', '@types/progress', 'ts-node', 'typescript']","['cli-spinner', 'inquirer', 'jsdom', 'node-fetch', 'progress']","['@types/cli-spinner', '@types/inquirer', '@types/jsdom', '@types/node', '@types/node-fetch', '@types/progress', 'ts-node', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
ea959509b58569969fdbd165be852f85c3389e5c,2019-12-30 17:28:56+00:00,"['cli-spinner', 'inquirer', 'jsdom', 'kleur', 'node-fetch', 'progress']","['@types/cli-spinner', '@types/inquirer', '@types/jsdom', '@types/node', '@types/node-fetch', '@types/progress', 'ts-node', 'typescript']","['cli-spinner', 'inquirer', 'jsdom', 'node-fetch', 'progress']","['@types/cli-spinner', '@types/inquirer', '@types/jsdom', '@types/node', '@types/node-fetch', '@types/progress', 'ts-node', 'typescript']","{'added': ['kleur'], 'removed': []}","{'added': [], 'removed': []}"
5d68f30a3af61fc28da137f1983d106ad894f91d,2019-12-30 18:51:37+00:00,"['cli-spinner', 'inquirer', 'jsdom', 'kleur', 'node-fetch', 'progress']","['@types/cli-spinner', '@types/inquirer', '@types/jsdom', '@types/node', '@types/node-fetch', '@types/progress', 'ts-node', 'typescript']","['cli-spinner', 'inquirer', 'jsdom', 'kleur', 'node-fetch', 'progress']","['@types/cli-spinner', '@types/inquirer', '@types/jsdom', '@types/node', '@types/node-fetch', '@types/progress', 'ts-node', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
2b0eed55eee0596e58455b153042112006ff6fa7,2019-12-30 19:23:04+00:00,"['cli-spinner', 'inquirer', 'jsdom', 'kleur', 'node-fetch', 'progress']","['@types/cli-spinner', '@types/inquirer', '@types/jsdom', '@types/node', '@types/node-fetch', '@types/progress', 'ts-node', 'typescript']","['cli-spinner', 'inquirer', 'jsdom', 'kleur', 'node-fetch', 'progress']","['@types/cli-spinner', '@types/inquirer', '@types/jsdom', '@types/node', '@types/node-fetch', '@types/progress', 'ts-node', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
fe922018a569df38901bc726b22da0f92cd86d8c,2019-12-30 19:33:09+00:00,"['cli-spinner', 'inquirer', 'jsdom', 'kleur', 'node-fetch', 'progress']","['@types/cli-spinner', '@types/inquirer', '@types/jsdom', '@types/node', '@types/node-fetch', '@types/progress', 'ts-node', 'typescript']","['cli-spinner', 'inquirer', 'jsdom', 'kleur', 'node-fetch', 'progress']","['@types/cli-spinner', '@types/inquirer', '@types/jsdom', '@types/node', '@types/node-fetch', '@types/progress', 'ts-node', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
dcd8154442da6af7fa45f42c3bc96e47d276bde8,2019-12-30 19:39:06+00:00,"['cli-spinner', 'inquirer', 'jsdom', 'kleur', 'node-fetch', 'progress']","['@types/cli-spinner', '@types/inquirer', '@types/jsdom', '@types/node', '@types/node-fetch', '@types/progress', 'ts-node', 'typescript']","['cli-spinner', 'inquirer', 'jsdom', 'kleur', 'node-fetch', 'progress']","['@types/cli-spinner', '@types/inquirer', '@types/jsdom', '@types/node', '@types/node-fetch', '@types/progress', 'ts-node', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
e18a62126c33d4b20906d4002a0b76169070cc66,2019-12-31 10:21:54+00:00,"['cli-spinner', 'inquirer', 'jsdom', 'kleur', 'node-fetch', 'progress']","['@types/cli-spinner', '@types/inquirer', '@types/jsdom', '@types/node', '@types/node-fetch', '@types/progress', 'ts-node', 'typescript']","['cli-spinner', 'inquirer', 'jsdom', 'kleur', 'node-fetch', 'progress']","['@types/cli-spinner', '@types/inquirer', '@types/jsdom', '@types/node', '@types/node-fetch', '@types/progress', 'ts-node', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
479d859b1d1a17310c5a9f9d8b98add62acf9086,2020-01-01 21:42:47+00:00,"['cli-spinner', 'inquirer', 'jsdom', 'kleur', 'node-fetch', 'progress']","['@types/cli-spinner', '@types/inquirer', '@types/jsdom', '@types/node', '@types/node-fetch', '@types/progress', 'ts-node', 'typescript']","['cli-spinner', 'inquirer', 'jsdom', 'kleur', 'node-fetch', 'progress']","['@types/cli-spinner', '@types/inquirer', '@types/jsdom', '@types/node', '@types/node-fetch', '@types/progress', 'ts-node', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
382da739f6ac57553f37d1572e1fd7d0855c5c71,2020-01-02 00:45:05+00:00,"['cli-spinner', 'inquirer', 'jsdom', 'kleur', 'node-fetch', 'progress']","['@types/cli-spinner', '@types/inquirer', '@types/jsdom', '@types/node', '@types/node-fetch', '@types/progress', 'ts-node', 'typescript']","['cli-spinner', 'inquirer', 'jsdom', 'kleur', 'node-fetch', 'progress']","['@types/cli-spinner', '@types/inquirer', '@types/jsdom', '@types/node', '@types/node-fetch', '@types/progress', 'ts-node', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
2f5e0acb20b401475ab8db4cac01f4e96edbd212,2020-01-03 03:26:20+00:00,"['cli-spinner', 'inquirer', 'jsdom', 'kleur', 'node-fetch', 'progress']","['@types/cli-spinner', '@types/inquirer', '@types/jsdom', '@types/node', '@types/node-fetch', '@types/progress', 'ts-node', 'typescript']","['cli-spinner', 'inquirer', 'jsdom', 'kleur', 'node-fetch', 'progress']","['@types/cli-spinner', '@types/inquirer', '@types/jsdom', '@types/node', '@types/node-fetch', '@types/progress', 'ts-node', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
5c1d9e1c7fa163b9bd7bdb4140d4180a09d820ca,2020-01-10 15:33:57+00:00,"['cli-spinner', 'inquirer', 'jsdom', 'kleur', 'node-fetch', 'progress']","['@types/cli-spinner', '@types/inquirer', '@types/jsdom', '@types/node', '@types/node-fetch', '@types/progress', 'ts-node', 'typescript']","['cli-spinner', 'inquirer', 'jsdom', 'kleur', 'node-fetch', 'progress']","['@types/cli-spinner', '@types/inquirer', '@types/jsdom', '@types/node', '@types/node-fetch', '@types/progress', 'ts-node', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
68ac3d1461693d7903285a28df23db0767c78e82,2020-01-10 15:39:51+00:00,"['cli-spinner', 'inquirer', 'jsdom', 'kleur', 'node-fetch', 'progress']","['@types/cli-spinner', '@types/inquirer', '@types/jsdom', '@types/node', '@types/node-fetch', '@types/progress', 'ts-node', 'typescript']","['cli-spinner', 'inquirer', 'jsdom', 'kleur', 'node-fetch', 'progress']","['@types/cli-spinner', '@types/inquirer', '@types/jsdom', '@types/node', '@types/node-fetch', '@types/progress', 'ts-node', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
fa17508398872d0ad66db57cd256a3e9c84d6b11,2020-01-10 15:42:35+00:00,"['cli-spinner', 'inquirer', 'jsdom', 'kleur', 'node-fetch', 'progress']","['@types/cli-spinner', '@types/inquirer', '@types/jsdom', '@types/node', '@types/node-fetch', '@types/progress', 'ts-node', 'typescript']","['cli-spinner', 'inquirer', 'jsdom', 'kleur', 'node-fetch', 'progress']","['@types/cli-spinner', '@types/inquirer', '@types/jsdom', '@types/node', '@types/node-fetch', '@types/progress', 'ts-node', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
1d29c07880ff85867b2f78c35a45e5ceed5782de,2020-01-22 21:02:36+00:00,"['cli-spinner', 'inquirer', 'jsdom', 'kleur', 'node-fetch', 'progress']","['@types/cli-spinner', '@types/inquirer', '@types/jsdom', '@types/node', '@types/node-fetch', '@types/progress', 'babel-minify', 'ts-node', 'typescript']","['cli-spinner', 'inquirer', 'jsdom', 'kleur', 'node-fetch', 'progress']","['@types/cli-spinner', '@types/inquirer', '@types/jsdom', '@types/node', '@types/node-fetch', '@types/progress', 'ts-node', 'typescript']","{'added': [], 'removed': []}","{'added': ['babel-minify'], 'removed': []}"
f2a7786cacace48976f99b27a197bf0c90ecc7d8,2020-03-05 23:32:07+00:00,"['cli-spinner', 'inquirer', 'jsdom', 'kleur', 'node-fetch', 'progress']","['@types/cli-spinner', '@types/inquirer', '@types/jsdom', '@types/node', '@types/node-fetch', '@types/progress', 'babel-minify', 'ts-node', 'typescript']","['cli-spinner', 'inquirer', 'jsdom', 'kleur', 'node-fetch', 'progress']","['@types/cli-spinner', '@types/inquirer', '@types/jsdom', '@types/node', '@types/node-fetch', '@types/progress', 'babel-minify', 'ts-node', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
083184c5a5504f92fe0b3f545402b541a4a9e287,2020-03-06 12:24:52+00:00,"['cli-spinner', 'inquirer', 'jsdom', 'kleur', 'node-fetch', 'progress']","['@types/cli-spinner', '@types/inquirer', '@types/jsdom', '@types/node', '@types/node-fetch', '@types/progress', 'babel-minify', 'nexe', 'pkg', 'ts-node', 'typescript']","['cli-spinner', 'inquirer', 'jsdom', 'kleur', 'node-fetch', 'progress']","['@types/cli-spinner', '@types/inquirer', '@types/jsdom', '@types/node', '@types/node-fetch', '@types/progress', 'babel-minify', 'ts-node', 'typescript']","{'added': [], 'removed': []}","{'added': ['nexe', 'pkg'], 'removed': []}"
3cfc59d76a07fc10711dc4b5ffe92d04ca81b405,2020-03-06 12:43:21+00:00,"['cli-spinner', 'inquirer', 'jsdom', 'kleur', 'node-fetch', 'progress']","['@types/cli-spinner', '@types/inquirer', '@types/jsdom', '@types/node', '@types/node-fetch', '@types/progress', 'babel-minify', 'pkg', 'ts-node', 'typescript']","['cli-spinner', 'inquirer', 'jsdom', 'kleur', 'node-fetch', 'progress']","['@types/cli-spinner', '@types/inquirer', '@types/jsdom', '@types/node', '@types/node-fetch', '@types/progress', 'babel-minify', 'nexe', 'pkg', 'ts-node', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': ['nexe']}"
d0cf1e510001415a472ce487a1d343c5d85f2e38,2020-03-07 14:34:27+00:00,"['cli-spinner', 'inquirer', 'jsdom', 'kleur', 'node-fetch', 'progress']","['@types/cli-spinner', '@types/inquirer', '@types/jsdom', '@types/node', '@types/node-fetch', '@types/progress', 'babel-minify', 'pkg', 'ts-node', 'typescript']","['cli-spinner', 'inquirer', 'jsdom', 'kleur', 'node-fetch', 'progress']","['@types/cli-spinner', '@types/inquirer', '@types/jsdom', '@types/node', '@types/node-fetch', '@types/progress', 'babel-minify', 'pkg', 'ts-node', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
999b7e94729da2b60a9baeb26ce901cf3792024c,2020-03-07 19:49:28+00:00,"['cli-spinner', 'inquirer', 'jsdom', 'kleur', 'node-fetch', 'progress']","['@types/cli-spinner', '@types/inquirer', '@types/jsdom', '@types/node', '@types/node-fetch', '@types/progress', 'babel-minify', 'pkg', 'ts-node', 'typescript']","['cli-spinner', 'inquirer', 'jsdom', 'kleur', 'node-fetch', 'progress']","['@types/cli-spinner', '@types/inquirer', '@types/jsdom', '@types/node', '@types/node-fetch', '@types/progress', 'babel-minify', 'pkg', 'ts-node', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
