commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
9d2c525d528c9bd6f306c6f550e3f0eef7879054,2018-12-04 07:08:40+00:00,[],"['vue', 'vue-router', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'babel-core', 'babel-eslint', 'babel-jest', 'eslint', 'eslint-plugin-vue', 'node-sass', 'sass-loader', 'vue-template-compiler']",,,"{'added': [], 'removed': []}","{'added': ['vue', 'vue-router', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'babel-core', 'babel-eslint', 'babel-jest', 'eslint', 'eslint-plugin-vue', 'node-sass', 'sass-loader', 'vue-template-compiler'], 'removed': []}"
5000b0eb64bbed1886b874f811b49d77a56e8961,2018-12-06 18:26:49+00:00,[],"['vue', 'vue-router', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'babel-core', 'babel-eslint', 'babel-jest', 'eslint', 'eslint-plugin-vue', 'node-sass', 'sass-loader', 'vue-template-compiler', 'primeicons', 'primeflex']",[],"['vue', 'vue-router', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'babel-core', 'babel-eslint', 'babel-jest', 'eslint', 'eslint-plugin-vue', 'node-sass', 'sass-loader', 'vue-template-compiler']","{'added': [], 'removed': []}","{'added': ['primeflex', 'primeicons'], 'removed': []}"
89f25bcb963df0dd698b78d231e73344cc7e20e5,2018-12-25 21:31:41+00:00,[],"['vue', 'vue-router', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'babel-core', 'babel-eslint', 'babel-jest', 'eslint', 'eslint-plugin-vue', 'node-sass', 'sass-loader', 'vue-template-compiler', 'primeicons', 'primeflex']",[],"['vue', 'vue-router', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'babel-core', 'babel-eslint', 'babel-jest', 'eslint', 'eslint-plugin-vue', 'node-sass', 'sass-loader', 'vue-template-compiler', 'primeicons', 'primeflex']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
269faced48d5569fa910657a05dd148d3143667b,2018-12-26 08:50:28+00:00,[],"['vue', 'vue-router', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'babel-core', 'babel-eslint', 'babel-jest', 'eslint', 'eslint-plugin-vue', 'node-sass', 'sass-loader', 'vue-template-compiler', 'primeicons', 'primeflex', 'quill']",[],"['vue', 'vue-router', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'babel-core', 'babel-eslint', 'babel-jest', 'eslint', 'eslint-plugin-vue', 'node-sass', 'sass-loader', 'vue-template-compiler', 'primeicons', 'primeflex']","{'added': [], 'removed': []}","{'added': ['quill'], 'removed': []}"
15f4aeb4b8c2252a74b174abab79f8a774f8073f,2018-12-31 15:41:35+00:00,[],"['vue', 'vue-router', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'babel-core', 'babel-eslint', 'babel-jest', 'eslint', 'eslint-plugin-vue', 'node-sass', 'sass-loader', 'vue-template-compiler', 'primeicons', 'primeflex', 'quill', 'axios', 'fullcalendar']",[],"['vue', 'vue-router', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'babel-core', 'babel-eslint', 'babel-jest', 'eslint', 'eslint-plugin-vue', 'node-sass', 'sass-loader', 'vue-template-compiler', 'primeicons', 'primeflex', 'quill']","{'added': [], 'removed': []}","{'added': ['fullcalendar', 'axios'], 'removed': []}"
2f811833a965596cb857ed60d315063a81a05ddc,2019-01-01 18:53:12+00:00,[],"['vue', 'vue-router', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'babel-core', 'babel-eslint', 'babel-jest', 'eslint', 'eslint-plugin-vue', 'node-sass', 'sass-loader', 'vue-template-compiler', 'primeicons', 'primeflex', 'axios', 'quill', 'fullcalendar', 'chart.js']",[],"['vue', 'vue-router', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'babel-core', 'babel-eslint', 'babel-jest', 'eslint', 'eslint-plugin-vue', 'node-sass', 'sass-loader', 'vue-template-compiler', 'primeicons', 'primeflex', 'quill', 'axios', 'fullcalendar']","{'added': [], 'removed': []}","{'added': ['chart.js'], 'removed': []}"
bb1d3e1dba91f65f78efcf08c306c957577a9d9d,2019-03-20 07:57:32+00:00,"['prism-es6', 'prismjs']","['vue', 'vue-router', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'babel-core', 'babel-eslint', 'babel-jest', 'eslint', 'eslint-plugin-vue', 'node-sass', 'sass-loader', 'vue-template-compiler', 'primeicons', 'primeflex', 'axios', 'quill', 'fullcalendar', 'chart.js']",[],"['vue', 'vue-router', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'babel-core', 'babel-eslint', 'babel-jest', 'eslint', 'eslint-plugin-vue', 'node-sass', 'sass-loader', 'vue-template-compiler', 'primeicons', 'primeflex', 'axios', 'quill', 'fullcalendar', 'chart.js']","{'added': ['prismjs', 'prism-es6'], 'removed': []}","{'added': [], 'removed': []}"
115b9c57209853bb00b8d47c4c5a26202075977b,2019-03-20 13:23:48+00:00,"['prism-es6', 'prismjs']","['vue', 'vue-router', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'babel-core', 'babel-eslint', 'babel-jest', 'eslint', 'eslint-plugin-vue', 'node-sass', 'sass-loader', 'vue-template-compiler', 'primeicons', 'primeflex', 'axios', 'quill', 'fullcalendar', 'chart.js']","['prism-es6', 'prismjs']","['vue', 'vue-router', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'babel-core', 'babel-eslint', 'babel-jest', 'eslint', 'eslint-plugin-vue', 'node-sass', 'sass-loader', 'vue-template-compiler', 'primeicons', 'primeflex', 'axios', 'quill', 'fullcalendar', 'chart.js']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
2ec91db82f937c3abb224aa1149f5af606311549,2019-05-13 11:47:17+00:00,"['prism-es6', 'prismjs']","['vue', 'vue-router', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'babel-core', 'babel-eslint', 'babel-jest', 'eslint', 'eslint-plugin-vue', 'node-sass', 'sass-loader', 'vue-template-compiler', 'primeicons', 'primeflex', 'axios', 'quill', '@fullcalendar/core', '@fullcalendar/daygrid', '@fullcalendar/interaction', '@fullcalendar/timegrid', 'chart.js']","['prism-es6', 'prismjs']","['vue', 'vue-router', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'babel-core', 'babel-eslint', 'babel-jest', 'eslint', 'eslint-plugin-vue', 'node-sass', 'sass-loader', 'vue-template-compiler', 'primeicons', 'primeflex', 'axios', 'quill', 'fullcalendar', 'chart.js']","{'added': [], 'removed': []}","{'added': ['@fullcalendar/interaction', '@fullcalendar/daygrid', '@fullcalendar/core', '@fullcalendar/timegrid'], 'removed': ['fullcalendar']}"
fb23ad37ff106da41230783dc568cfa0529c1f6b,2019-05-24 13:24:04+00:00,"['prism-es6', 'prismjs']","['vue', 'vue-router', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'babel-core', 'babel-eslint', 'babel-jest', 'eslint', 'eslint-plugin-vue', 'node-sass', 'sass-loader', 'vue-template-compiler', 'primeicons', 'primeflex', 'axios', 'quill', '@fullcalendar/core', '@fullcalendar/daygrid', '@fullcalendar/interaction', '@fullcalendar/timegrid', 'chart.js']","['prism-es6', 'prismjs']","['vue', 'vue-router', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'babel-core', 'babel-eslint', 'babel-jest', 'eslint', 'eslint-plugin-vue', 'node-sass', 'sass-loader', 'vue-template-compiler', 'primeicons', 'primeflex', 'axios', 'quill', '@fullcalendar/core', '@fullcalendar/daygrid', '@fullcalendar/interaction', '@fullcalendar/timegrid', 'chart.js']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
c3fbdd9d5d43af2aac6a91684a46f60ae3f1428a,2019-05-25 13:49:00+00:00,[],"['vue', 'vue-router', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'babel-core', 'babel-eslint', 'babel-jest', 'eslint', 'eslint-plugin-vue', 'node-sass', 'sass-loader', 'vue-template-compiler', 'primeicons', 'primeflex', 'axios', 'quill', '@fullcalendar/core', '@fullcalendar/daygrid', '@fullcalendar/interaction', '@fullcalendar/timegrid', 'chart.js', 'gulp', 'gulp-concat', 'gulp-flatten', 'gulp-rename', 'gulp-uglify', 'gulp-uglifycss', 'prism-es6', 'prismjs']","['prism-es6', 'prismjs']","['vue', 'vue-router', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'babel-core', 'babel-eslint', 'babel-jest', 'eslint', 'eslint-plugin-vue', 'node-sass', 'sass-loader', 'vue-template-compiler', 'primeicons', 'primeflex', 'axios', 'quill', '@fullcalendar/core', '@fullcalendar/daygrid', '@fullcalendar/interaction', '@fullcalendar/timegrid', 'chart.js']","{'added': [], 'removed': ['prismjs', 'prism-es6']}","{'added': ['prism-es6', 'gulp-uglify', 'gulp-uglifycss', 'prismjs', 'gulp-concat', 'gulp', 'gulp-flatten', 'gulp-rename'], 'removed': []}"
7171827dd5a02d812e35e57498b7450cacdc80ac,2019-05-25 16:11:02+00:00,[],"['vue', 'vue-router', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'babel-core', 'babel-eslint', 'babel-jest', 'eslint', 'eslint-plugin-vue', 'node-sass', 'sass-loader', 'vue-template-compiler', 'primeicons', 'primeflex', 'axios', 'quill', '@fullcalendar/core', '@fullcalendar/daygrid', '@fullcalendar/interaction', '@fullcalendar/timegrid', 'chart.js', 'gulp', 'gulp-concat', 'gulp-flatten', 'gulp-rename', 'gulp-uglify', 'gulp-uglifycss', 'prism-es6', 'prismjs']",[],"['vue', 'vue-router', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'babel-core', 'babel-eslint', 'babel-jest', 'eslint', 'eslint-plugin-vue', 'node-sass', 'sass-loader', 'vue-template-compiler', 'primeicons', 'primeflex', 'axios', 'quill', '@fullcalendar/core', '@fullcalendar/daygrid', '@fullcalendar/interaction', '@fullcalendar/timegrid', 'chart.js', 'gulp', 'gulp-concat', 'gulp-flatten', 'gulp-rename', 'gulp-uglify', 'gulp-uglifycss', 'prism-es6', 'prismjs']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
b13f10ee2dceb6af19b62c5f65802bb2abbed7f6,2019-05-26 07:56:47+00:00,[],"['vue', 'vue-router', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'babel-core', 'babel-eslint', 'babel-jest', 'eslint', 'eslint-plugin-vue', 'node-sass', 'sass-loader', 'vue-template-compiler', 'primeicons', 'primeflex', 'axios', 'quill', '@fullcalendar/core', '@fullcalendar/daygrid', '@fullcalendar/interaction', '@fullcalendar/timegrid', 'chart.js', 'gulp', 'gulp-concat', 'gulp-flatten', 'gulp-rename', 'gulp-uglify', 'gulp-uglifycss', 'prism-es6', 'prismjs']",[],"['vue', 'vue-router', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'babel-core', 'babel-eslint', 'babel-jest', 'eslint', 'eslint-plugin-vue', 'node-sass', 'sass-loader', 'vue-template-compiler', 'primeicons', 'primeflex', 'axios', 'quill', '@fullcalendar/core', '@fullcalendar/daygrid', '@fullcalendar/interaction', '@fullcalendar/timegrid', 'chart.js', 'gulp', 'gulp-concat', 'gulp-flatten', 'gulp-rename', 'gulp-uglify', 'gulp-uglifycss', 'prism-es6', 'prismjs']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
