commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
268323b2a816b4c7165d6bdd8df7fbc459531f8c,2020-04-05 13:43:40+00:00,"['@react-native-community/masked-view', '@react-native-community/netinfo', '@react-navigation/drawer', '@react-navigation/native', 'react', 'react-native', 'react-native-document-picker', 'react-native-gesture-handler', 'react-native-image-picker', 'react-native-reanimated', 'react-native-safe-area-context', 'react-native-screens', 'stream-chat', 'stream-chat-react-native', 'stream-chat-react-native-core', '@stream-io/react-native-simple-markdown']","['@babel/core', '@babel/runtime', '@react-native-community/eslint-config', 'babel-jest', 'eslint', 'jest', 'metro-react-native-babel-preset', 'react-test-renderer', 'reactotron-react-native']",,,"{'added': ['@react-native-community/masked-view', '@react-native-community/netinfo', '@react-navigation/drawer', '@react-navigation/native', 'react', 'react-native', 'react-native-document-picker', 'react-native-gesture-handler', 'react-native-image-picker', 'react-native-reanimated', 'react-native-safe-area-context', 'react-native-screens', 'stream-chat', 'stream-chat-react-native', 'stream-chat-react-native-core', '@stream-io/react-native-simple-markdown'], 'removed': []}","{'added': ['@babel/core', '@babel/runtime', '@react-native-community/eslint-config', 'babel-jest', 'eslint', 'jest', 'metro-react-native-babel-preset', 'react-test-renderer', 'reactotron-react-native'], 'removed': []}"
9b29b6b94b849b33ef03260d7f79caf804797d44,2020-04-05 18:13:31+00:00,"['@react-native-community/masked-view', '@react-native-community/netinfo', '@react-navigation/drawer', '@react-navigation/native', '@stream-io/react-native-simple-markdown', 'moment', 'react', 'react-native', 'react-native-document-picker', 'react-native-gesture-handler', 'react-native-image-picker', 'react-native-reanimated', 'react-native-safe-area-context', 'react-native-screens', 'stream-chat', 'stream-chat-react-native']","['@babel/core', '@babel/runtime', '@react-native-community/eslint-config', 'babel-jest', 'eslint', 'jest', 'metro-react-native-babel-preset', 'react-test-renderer', 'reactotron-react-native']","['@react-native-community/masked-view', '@react-native-community/netinfo', '@react-navigation/drawer', '@react-navigation/native', 'react', 'react-native', 'react-native-document-picker', 'react-native-gesture-handler', 'react-native-image-picker', 'react-native-reanimated', 'react-native-safe-area-context', 'react-native-screens', 'stream-chat', 'stream-chat-react-native', 'stream-chat-react-native-core', '@stream-io/react-native-simple-markdown']","['@babel/core', '@babel/runtime', '@react-native-community/eslint-config', 'babel-jest', 'eslint', 'jest', 'metro-react-native-babel-preset', 'react-test-renderer', 'reactotron-react-native']","{'added': ['moment'], 'removed': ['stream-chat-react-native-core']}","{'added': [], 'removed': []}"
0e0a22105428a0dfafd323e8c6f130bb79341920,2020-04-14 14:36:35+00:00,"['@react-native-community/masked-view', '@react-native-community/netinfo', '@react-navigation/drawer', '@react-navigation/native', '@stream-io/react-native-simple-markdown', 'moment', 'react', 'react-native', 'react-native-document-picker', 'react-native-gesture-handler', 'react-native-image-picker', 'react-native-reanimated', 'react-native-safe-area-context', 'react-native-screens', 'stream-chat', 'stream-chat-react-native']","['@babel/core', '@babel/runtime', '@react-native-community/eslint-config', 'babel-jest', 'eslint', 'jest', 'metro-react-native-babel-preset', 'react-test-renderer', 'reactotron-react-native']","['@react-native-community/masked-view', '@react-native-community/netinfo', '@react-navigation/drawer', '@react-navigation/native', '@stream-io/react-native-simple-markdown', 'moment', 'react', 'react-native', 'react-native-document-picker', 'react-native-gesture-handler', 'react-native-image-picker', 'react-native-reanimated', 'react-native-safe-area-context', 'react-native-screens', 'stream-chat', 'stream-chat-react-native']","['@babel/core', '@babel/runtime', '@react-native-community/eslint-config', 'babel-jest', 'eslint', 'jest', 'metro-react-native-babel-preset', 'react-test-renderer', 'reactotron-react-native']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
193c75ec8c788f6e875d4a3e130db671aa01eecf,2020-06-17 12:46:04+00:00,"['@react-native-community/masked-view', '@react-native-community/netinfo', '@react-navigation/drawer', '@react-navigation/native', '@stream-io/react-native-simple-markdown', 'moment', 'react', 'react-native', 'react-native-document-picker', 'react-native-gesture-handler', 'react-native-image-picker', 'react-native-reanimated', 'react-native-safe-area-context', 'react-native-screens', 'stream-chat', 'stream-chat-react-native']","['@babel/core', '@babel/runtime', '@react-native-community/eslint-config', 'babel-jest', 'eslint', 'jest', 'metro-react-native-babel-preset', 'react-test-renderer', 'reactotron-react-native']","['@react-native-community/masked-view', '@react-native-community/netinfo', '@react-navigation/drawer', '@react-navigation/native', '@stream-io/react-native-simple-markdown', 'moment', 'react', 'react-native', 'react-native-document-picker', 'react-native-gesture-handler', 'react-native-image-picker', 'react-native-reanimated', 'react-native-safe-area-context', 'react-native-screens', 'stream-chat', 'stream-chat-react-native']","['@babel/core', '@babel/runtime', '@react-native-community/eslint-config', 'babel-jest', 'eslint', 'jest', 'metro-react-native-babel-preset', 'react-test-renderer', 'reactotron-react-native']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
9aa546844acc2eead86575e1559213e635f343bf,2020-09-25 13:35:31+00:00,"['@react-native-community/masked-view', '@react-native-community/netinfo', '@react-navigation/drawer', '@react-navigation/native', '@stream-io/react-native-simple-markdown', 'moment', 'react', 'react-native', 'react-native-document-picker', 'react-native-gesture-handler', 'react-native-image-crop-picker', 'react-native-image-picker', 'react-native-reanimated', 'react-native-safe-area-context', 'react-native-screens', 'stream-chat', 'stream-chat-react-native']","['@babel/core', '@babel/runtime', '@react-native-community/eslint-config', 'babel-jest', 'eslint', 'jest', 'metro-react-native-babel-preset', 'react-devtools', 'react-test-renderer', 'reactotron-react-native']","['@react-native-community/masked-view', '@react-native-community/netinfo', '@react-navigation/drawer', '@react-navigation/native', '@stream-io/react-native-simple-markdown', 'moment', 'react', 'react-native', 'react-native-document-picker', 'react-native-gesture-handler', 'react-native-image-picker', 'react-native-reanimated', 'react-native-safe-area-context', 'react-native-screens', 'stream-chat', 'stream-chat-react-native']","['@babel/core', '@babel/runtime', '@react-native-community/eslint-config', 'babel-jest', 'eslint', 'jest', 'metro-react-native-babel-preset', 'react-test-renderer', 'reactotron-react-native']","{'added': ['react-native-image-crop-picker'], 'removed': []}","{'added': ['react-devtools'], 'removed': []}"
39464d7acdd65abeaf28ce7ae91da8eae411eefd,2020-10-02 08:53:12+00:00,"['@react-native-community/masked-view', '@react-native-community/netinfo', '@react-navigation/drawer', '@react-navigation/native', '@stream-io/react-native-simple-markdown', 'moment', 'react', 'react-native', 'react-native-document-picker', 'react-native-gesture-handler', 'react-native-image-crop-picker', 'react-native-image-picker', 'react-native-reanimated', 'react-native-safe-area-context', 'react-native-screens', 'stream-chat', 'stream-chat-react-native']","['@babel/core', '@babel/runtime', '@react-native-community/eslint-config', 'babel-jest', 'eslint', 'jest', 'metro-react-native-babel-preset', 'react-devtools', 'react-test-renderer', 'reactotron-react-native']","['@react-native-community/masked-view', '@react-native-community/netinfo', '@react-navigation/drawer', '@react-navigation/native', '@stream-io/react-native-simple-markdown', 'moment', 'react', 'react-native', 'react-native-document-picker', 'react-native-gesture-handler', 'react-native-image-crop-picker', 'react-native-image-picker', 'react-native-reanimated', 'react-native-safe-area-context', 'react-native-screens', 'stream-chat', 'stream-chat-react-native']","['@babel/core', '@babel/runtime', '@react-native-community/eslint-config', 'babel-jest', 'eslint', 'jest', 'metro-react-native-babel-preset', 'react-devtools', 'react-test-renderer', 'reactotron-react-native']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
6d1c02e7e3f77177650fbb29559585066f85432b,2020-10-09 08:49:58+00:00,"['@react-native-community/masked-view', '@react-native-community/netinfo', '@react-navigation/drawer', '@react-navigation/native', '@stream-io/react-native-simple-markdown', 'moment', 'react', 'react-native', 'react-native-document-picker', 'react-native-gesture-handler', 'react-native-image-crop-picker', 'react-native-image-picker', 'react-native-reanimated', 'react-native-safe-area-context', 'react-native-screens', 'stream-chat', 'stream-chat-react-native']","['@babel/core', '@babel/runtime', '@react-native-community/eslint-config', 'babel-jest', 'eslint', 'jest', 'metro-react-native-babel-preset', 'react-devtools', 'react-test-renderer', 'reactotron-react-native']","['@react-native-community/masked-view', '@react-native-community/netinfo', '@react-navigation/drawer', '@react-navigation/native', '@stream-io/react-native-simple-markdown', 'moment', 'react', 'react-native', 'react-native-document-picker', 'react-native-gesture-handler', 'react-native-image-crop-picker', 'react-native-image-picker', 'react-native-reanimated', 'react-native-safe-area-context', 'react-native-screens', 'stream-chat', 'stream-chat-react-native']","['@babel/core', '@babel/runtime', '@react-native-community/eslint-config', 'babel-jest', 'eslint', 'jest', 'metro-react-native-babel-preset', 'react-devtools', 'react-test-renderer', 'reactotron-react-native']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
12fd3a83cd6c3a2c0b0c8f237f1e79817a326d3c,2020-10-17 12:06:35+00:00,"['@react-native-community/masked-view', '@react-native-community/netinfo', '@react-navigation/bottom-tabs', '@react-navigation/drawer', '@react-navigation/native', '@react-navigation/stack', '@stream-io/react-native-simple-markdown', 'moment', 'react', 'react-native', 'react-native-document-picker', 'react-native-gesture-handler', 'react-native-get-random-values', 'react-native-image-crop-picker', 'react-native-image-picker', 'react-native-reanimated', 'react-native-safe-area-context', 'react-native-screens', 'stream-chat', 'stream-chat-react-native']","['@babel/core', '@babel/runtime', '@react-native-community/eslint-config', 'babel-jest', 'eslint', 'jest', 'metro-react-native-babel-preset', 'react-devtools', 'react-test-renderer', 'reactotron-react-native']","['@react-native-community/masked-view', '@react-native-community/netinfo', '@react-navigation/drawer', '@react-navigation/native', '@stream-io/react-native-simple-markdown', 'moment', 'react', 'react-native', 'react-native-document-picker', 'react-native-gesture-handler', 'react-native-image-crop-picker', 'react-native-image-picker', 'react-native-reanimated', 'react-native-safe-area-context', 'react-native-screens', 'stream-chat', 'stream-chat-react-native']","['@babel/core', '@babel/runtime', '@react-native-community/eslint-config', 'babel-jest', 'eslint', 'jest', 'metro-react-native-babel-preset', 'react-devtools', 'react-test-renderer', 'reactotron-react-native']","{'added': ['@react-navigation/stack', '@react-navigation/bottom-tabs', 'react-native-get-random-values'], 'removed': []}","{'added': [], 'removed': []}"
6db318cbfa0de95272168b3ffc864ce80b868e71,2020-10-17 14:19:33+00:00,"['@react-native-community/masked-view', '@react-native-community/netinfo', '@react-navigation/bottom-tabs', '@react-navigation/drawer', '@react-navigation/native', '@react-navigation/stack', '@stream-io/react-native-simple-markdown', 'moment', 'react', 'react-native', 'react-native-document-picker', 'react-native-gesture-handler', 'react-native-get-random-values', 'react-native-image-crop-picker', 'react-native-image-picker', 'react-native-reanimated', 'react-native-safe-area-context', 'react-native-screens', 'stream-chat', 'stream-chat-react-native']","['@babel/core', '@babel/runtime', '@react-native-community/eslint-config', 'babel-jest', 'eslint', 'jest', 'metro-react-native-babel-preset', 'react-devtools', 'react-test-renderer', 'reactotron-react-native']","['@react-native-community/masked-view', '@react-native-community/netinfo', '@react-navigation/bottom-tabs', '@react-navigation/drawer', '@react-navigation/native', '@react-navigation/stack', '@stream-io/react-native-simple-markdown', 'moment', 'react', 'react-native', 'react-native-document-picker', 'react-native-gesture-handler', 'react-native-get-random-values', 'react-native-image-crop-picker', 'react-native-image-picker', 'react-native-reanimated', 'react-native-safe-area-context', 'react-native-screens', 'stream-chat', 'stream-chat-react-native']","['@babel/core', '@babel/runtime', '@react-native-community/eslint-config', 'babel-jest', 'eslint', 'jest', 'metro-react-native-babel-preset', 'react-devtools', 'react-test-renderer', 'reactotron-react-native']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
a67f71b664d6d0652b9892e1a2ab30b2c3599f2b,2020-10-20 13:09:03+00:00,"['@react-native-community/async-storage', '@react-native-community/masked-view', '@react-native-community/netinfo', '@react-navigation/bottom-tabs', '@react-navigation/drawer', '@react-navigation/native', '@react-navigation/stack', '@stream-io/react-native-simple-markdown', 'moment', 'react', 'react-native', 'react-native-document-picker', 'react-native-gesture-handler', 'react-native-get-random-values', 'react-native-image-crop-picker', 'react-native-image-picker', 'react-native-reanimated', 'react-native-safe-area-context', 'react-native-screens', 'react-native-svg', 'react-native-svg-transformer', 'react-native-tags', 'stream-chat', 'stream-chat-react-native']","['@babel/core', '@babel/runtime', '@react-native-community/eslint-config', 'babel-jest', 'eslint', 'jest', 'metro-react-native-babel-preset', 'react-devtools', 'react-test-renderer', 'reactotron-react-native']","['@react-native-community/masked-view', '@react-native-community/netinfo', '@react-navigation/bottom-tabs', '@react-navigation/drawer', '@react-navigation/native', '@react-navigation/stack', '@stream-io/react-native-simple-markdown', 'moment', 'react', 'react-native', 'react-native-document-picker', 'react-native-gesture-handler', 'react-native-get-random-values', 'react-native-image-crop-picker', 'react-native-image-picker', 'react-native-reanimated', 'react-native-safe-area-context', 'react-native-screens', 'stream-chat', 'stream-chat-react-native']","['@babel/core', '@babel/runtime', '@react-native-community/eslint-config', 'babel-jest', 'eslint', 'jest', 'metro-react-native-babel-preset', 'react-devtools', 'react-test-renderer', 'reactotron-react-native']","{'added': ['@react-native-community/async-storage', 'react-native-tags', 'react-native-svg', 'react-native-svg-transformer'], 'removed': []}","{'added': [], 'removed': []}"
f0c55352b4e4697b05b96d555e69e06997b8c377,2020-10-22 07:59:39+00:00,"['@react-native-community/async-storage', '@react-native-community/masked-view', '@react-native-community/netinfo', '@react-navigation/bottom-tabs', '@react-navigation/drawer', '@react-navigation/native', '@react-navigation/stack', '@stream-io/react-native-simple-markdown', 'moment', 'react', 'react-native', 'react-native-appearance', 'react-native-document-picker', 'react-native-gesture-handler', 'react-native-get-random-values', 'react-native-image-crop-picker', 'react-native-image-picker', 'react-native-reanimated', 'react-native-safe-area-context', 'react-native-screens', 'react-native-svg', 'react-native-svg-transformer', 'react-native-tags', 'stream-chat', 'stream-chat-react-native']","['@babel/core', '@babel/runtime', '@react-native-community/eslint-config', 'babel-jest', 'eslint', 'jest', 'metro-react-native-babel-preset', 'react-devtools', 'react-test-renderer', 'reactotron-react-native']","['@react-native-community/async-storage', '@react-native-community/masked-view', '@react-native-community/netinfo', '@react-navigation/bottom-tabs', '@react-navigation/drawer', '@react-navigation/native', '@react-navigation/stack', '@stream-io/react-native-simple-markdown', 'moment', 'react', 'react-native', 'react-native-document-picker', 'react-native-gesture-handler', 'react-native-get-random-values', 'react-native-image-crop-picker', 'react-native-image-picker', 'react-native-reanimated', 'react-native-safe-area-context', 'react-native-screens', 'react-native-svg', 'react-native-svg-transformer', 'react-native-tags', 'stream-chat', 'stream-chat-react-native']","['@babel/core', '@babel/runtime', '@react-native-community/eslint-config', 'babel-jest', 'eslint', 'jest', 'metro-react-native-babel-preset', 'react-devtools', 'react-test-renderer', 'reactotron-react-native']","{'added': ['react-native-appearance'], 'removed': []}","{'added': [], 'removed': []}"
aacd02f42d551debe640dfc3dcbfc5c9b7b2c299,2020-10-23 09:59:26+00:00,"['@react-native-community/async-storage', '@react-native-community/checkbox', '@react-native-community/masked-view', '@react-native-community/netinfo', '@react-native-community/picker', '@react-navigation/bottom-tabs', '@react-navigation/drawer', '@react-navigation/native', '@react-navigation/stack', '@stream-io/react-native-simple-markdown', 'moment', 'react', 'react-native', 'react-native-appearance', 'react-native-document-picker', 'react-native-gesture-handler', 'react-native-get-random-values', 'react-native-image-crop-picker', 'react-native-image-picker', 'react-native-safe-area-context', 'react-native-screens', 'react-native-svg', 'react-native-svg-transformer', 'react-native-tags', 'stream-chat', 'stream-chat-react-native']","['@babel/core', '@babel/runtime', '@react-native-community/eslint-config', 'babel-jest', 'eslint', 'jest', 'metro-react-native-babel-preset', 'react-devtools', 'react-test-renderer', 'reactotron-react-native']","['@react-native-community/async-storage', '@react-native-community/masked-view', '@react-native-community/netinfo', '@react-navigation/bottom-tabs', '@react-navigation/drawer', '@react-navigation/native', '@react-navigation/stack', '@stream-io/react-native-simple-markdown', 'moment', 'react', 'react-native', 'react-native-appearance', 'react-native-document-picker', 'react-native-gesture-handler', 'react-native-get-random-values', 'react-native-image-crop-picker', 'react-native-image-picker', 'react-native-reanimated', 'react-native-safe-area-context', 'react-native-screens', 'react-native-svg', 'react-native-svg-transformer', 'react-native-tags', 'stream-chat', 'stream-chat-react-native']","['@babel/core', '@babel/runtime', '@react-native-community/eslint-config', 'babel-jest', 'eslint', 'jest', 'metro-react-native-babel-preset', 'react-devtools', 'react-test-renderer', 'reactotron-react-native']","{'added': ['@react-native-community/picker', '@react-native-community/checkbox'], 'removed': ['react-native-reanimated']}","{'added': [], 'removed': []}"
