commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
13d22164601a4a2f1b1b7098388183b5ee649d9b,2019-04-22 17:12:49+00:00,"['d3', 'dom-to-image-more', 'eventsource-polyfill', 'file-saver', 'handlebars', 'highlight.js', 'pretty', 'qrcode', 'quant-ux-cli', 'vue', 'vue-router']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'autoprefixer', 'babel-core', 'babel-eslint', 'babel-jest', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-env', 'babel-preset-stage-2', 'babel-register', 'body-parser', 'compression', 'connect-history-api-fallback', 'cross-spawn', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-vue', 'express', 'extract-text-webpack-plugin', 'html-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'jest', 'shelljs', 'url-loader', 'vue-class-component', 'vue-jest', 'vue-loader', 'vue-property-decorator', 'vue-style-loader', 'vue-template-compiler', 'webpack', 'webpack-bundle-analyzer', 'webpack-dev-middleware', 'webpack-hot-middleware', 'webpack-merge']",,,"{'added': ['d3', 'dom-to-image-more', 'eventsource-polyfill', 'file-saver', 'handlebars', 'highlight.js', 'pretty', 'qrcode', 'quant-ux-cli', 'vue', 'vue-router'], 'removed': []}","{'added': ['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'autoprefixer', 'babel-core', 'babel-eslint', 'babel-jest', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-env', 'babel-preset-stage-2', 'babel-register', 'body-parser', 'compression', 'connect-history-api-fallback', 'cross-spawn', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-vue', 'express', 'extract-text-webpack-plugin', 'html-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'jest', 'shelljs', 'url-loader', 'vue-class-component', 'vue-jest', 'vue-loader', 'vue-property-decorator', 'vue-style-loader', 'vue-template-compiler', 'webpack', 'webpack-bundle-analyzer', 'webpack-dev-middleware', 'webpack-hot-middleware', 'webpack-merge'], 'removed': []}"
18eb9c308f229458cae60182f9d90456c3ee91f5,2019-04-24 18:45:30+00:00,"['d3', 'dom-to-image-more', 'eventsource-polyfill', 'file-saver', 'handlebars', 'highlight.js', 'pretty', 'qrcode', 'quant-ux-cli', 'vue', 'vue-router']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'autoprefixer', 'babel-core', 'babel-eslint', 'babel-jest', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-env', 'babel-preset-stage-2', 'babel-register', 'body-parser', 'compression', 'connect-history-api-fallback', 'cross-spawn', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-vue', 'express', 'extract-text-webpack-plugin', 'html-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'jest', 'shelljs', 'url-loader', 'vue-class-component', 'vue-jest', 'vue-loader', 'vue-property-decorator', 'vue-style-loader', 'vue-template-compiler', 'webpack', 'webpack-bundle-analyzer', 'webpack-dev-middleware', 'webpack-hot-middleware', 'webpack-merge']","['d3', 'dom-to-image-more', 'eventsource-polyfill', 'file-saver', 'handlebars', 'highlight.js', 'pretty', 'qrcode', 'quant-ux-cli', 'vue', 'vue-router']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'autoprefixer', 'babel-core', 'babel-eslint', 'babel-jest', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-env', 'babel-preset-stage-2', 'babel-register', 'body-parser', 'compression', 'connect-history-api-fallback', 'cross-spawn', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-vue', 'express', 'extract-text-webpack-plugin', 'html-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'jest', 'shelljs', 'url-loader', 'vue-class-component', 'vue-jest', 'vue-loader', 'vue-property-decorator', 'vue-style-loader', 'vue-template-compiler', 'webpack', 'webpack-bundle-analyzer', 'webpack-dev-middleware', 'webpack-hot-middleware', 'webpack-merge']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
abc0b64c197526a1d0cce6432594677186d2a3d1,2019-05-23 16:10:01+00:00,"['d3', 'dom-to-image-more', 'eventsource-polyfill', 'file-saver', 'handlebars', 'highlight.js', 'pretty', 'qrcode', 'quant-ux-cli', 'vue', 'vue-router']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'autoprefixer', 'babel-core', 'babel-eslint', 'babel-jest', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-env', 'babel-preset-stage-2', 'babel-register', 'body-parser', 'compression', 'connect-history-api-fallback', 'cross-spawn', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-vue', 'express', 'extract-text-webpack-plugin', 'html-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'jest', 'shelljs', 'url-loader', 'vue-class-component', 'vue-jest', 'vue-loader', 'vue-property-decorator', 'vue-style-loader', 'vue-template-compiler', 'webpack', 'webpack-bundle-analyzer', 'webpack-dev-middleware', 'webpack-hot-middleware', 'webpack-merge']","['d3', 'dom-to-image-more', 'eventsource-polyfill', 'file-saver', 'handlebars', 'highlight.js', 'pretty', 'qrcode', 'quant-ux-cli', 'vue', 'vue-router']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'autoprefixer', 'babel-core', 'babel-eslint', 'babel-jest', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-env', 'babel-preset-stage-2', 'babel-register', 'body-parser', 'compression', 'connect-history-api-fallback', 'cross-spawn', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-vue', 'express', 'extract-text-webpack-plugin', 'html-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'jest', 'shelljs', 'url-loader', 'vue-class-component', 'vue-jest', 'vue-loader', 'vue-property-decorator', 'vue-style-loader', 'vue-template-compiler', 'webpack', 'webpack-bundle-analyzer', 'webpack-dev-middleware', 'webpack-hot-middleware', 'webpack-merge']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
2c11d51bc777f5228dbe0480e5b7fa90535edbf4,2019-06-20 19:04:04+00:00,"['d3', 'dom-to-image-more', 'eventsource-polyfill', 'file-saver', 'handlebars', 'highlight.js', 'pretty', 'qrcode', 'quant-ux-cli', 'vue', 'vue-router']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'autoprefixer', 'babel-core', 'babel-eslint', 'babel-jest', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-env', 'babel-preset-stage-2', 'babel-register', 'body-parser', 'compression', 'connect-history-api-fallback', 'cross-spawn', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-vue', 'express', 'extract-text-webpack-plugin', 'html-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'jest', 'shelljs', 'url-loader', 'vue-class-component', 'vue-jest', 'vue-loader', 'vue-property-decorator', 'vue-style-loader', 'vue-template-compiler', 'webpack', 'webpack-bundle-analyzer', 'webpack-dev-middleware', 'webpack-hot-middleware', 'webpack-merge']","['d3', 'dom-to-image-more', 'eventsource-polyfill', 'file-saver', 'handlebars', 'highlight.js', 'pretty', 'qrcode', 'quant-ux-cli', 'vue', 'vue-router']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'autoprefixer', 'babel-core', 'babel-eslint', 'babel-jest', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-env', 'babel-preset-stage-2', 'babel-register', 'body-parser', 'compression', 'connect-history-api-fallback', 'cross-spawn', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-vue', 'express', 'extract-text-webpack-plugin', 'html-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'jest', 'shelljs', 'url-loader', 'vue-class-component', 'vue-jest', 'vue-loader', 'vue-property-decorator', 'vue-style-loader', 'vue-template-compiler', 'webpack', 'webpack-bundle-analyzer', 'webpack-dev-middleware', 'webpack-hot-middleware', 'webpack-merge']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
748703b41e1199a67475ef3ca75aadae9f2cedb6,2019-07-21 19:42:08+00:00,"['d3', 'dom-to-image-more', 'eventsource-polyfill', 'file-saver', 'handlebars', 'highlight.js', 'pretty', 'qrcode', 'quant-ux-cli', 'vue', 'vue-router']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'autoprefixer', 'babel-core', 'babel-eslint', 'babel-jest', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-env', 'babel-preset-stage-2', 'babel-register', 'body-parser', 'compression', 'connect-history-api-fallback', 'cross-spawn', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-vue', 'express', 'extract-text-webpack-plugin', 'html-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'jest', 'shelljs', 'url-loader', 'vue-class-component', 'vue-jest', 'vue-loader', 'vue-property-decorator', 'vue-style-loader', 'vue-template-compiler', 'webpack', 'webpack-bundle-analyzer', 'webpack-dev-middleware', 'webpack-hot-middleware', 'webpack-merge']","['d3', 'dom-to-image-more', 'eventsource-polyfill', 'file-saver', 'handlebars', 'highlight.js', 'pretty', 'qrcode', 'quant-ux-cli', 'vue', 'vue-router']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'autoprefixer', 'babel-core', 'babel-eslint', 'babel-jest', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-env', 'babel-preset-stage-2', 'babel-register', 'body-parser', 'compression', 'connect-history-api-fallback', 'cross-spawn', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-vue', 'express', 'extract-text-webpack-plugin', 'html-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'jest', 'shelljs', 'url-loader', 'vue-class-component', 'vue-jest', 'vue-loader', 'vue-property-decorator', 'vue-style-loader', 'vue-template-compiler', 'webpack', 'webpack-bundle-analyzer', 'webpack-dev-middleware', 'webpack-hot-middleware', 'webpack-merge']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
7cd395ff56e308d39bb170567f37d41f7ee0ea9c,2019-08-04 21:11:58+00:00,"['d3', 'dom-to-image-more', 'eventsource-polyfill', 'file-saver', 'handlebars', 'highlight.js', 'paper', 'pretty', 'qrcode', 'quant-ux-cli', 'vue', 'vue-router']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'autoprefixer', 'babel-core', 'babel-eslint', 'babel-jest', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-env', 'babel-preset-stage-2', 'babel-register', 'body-parser', 'compression', 'connect-history-api-fallback', 'cross-spawn', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-vue', 'express', 'extract-text-webpack-plugin', 'html-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'jest', 'shelljs', 'url-loader', 'vue-class-component', 'vue-jest', 'vue-loader', 'vue-property-decorator', 'vue-style-loader', 'vue-template-compiler', 'webpack', 'webpack-bundle-analyzer', 'webpack-dev-middleware', 'webpack-hot-middleware', 'webpack-merge']","['d3', 'dom-to-image-more', 'eventsource-polyfill', 'file-saver', 'handlebars', 'highlight.js', 'pretty', 'qrcode', 'quant-ux-cli', 'vue', 'vue-router']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'autoprefixer', 'babel-core', 'babel-eslint', 'babel-jest', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-env', 'babel-preset-stage-2', 'babel-register', 'body-parser', 'compression', 'connect-history-api-fallback', 'cross-spawn', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-vue', 'express', 'extract-text-webpack-plugin', 'html-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'jest', 'shelljs', 'url-loader', 'vue-class-component', 'vue-jest', 'vue-loader', 'vue-property-decorator', 'vue-style-loader', 'vue-template-compiler', 'webpack', 'webpack-bundle-analyzer', 'webpack-dev-middleware', 'webpack-hot-middleware', 'webpack-merge']","{'added': ['paper'], 'removed': []}","{'added': [], 'removed': []}"
8a4a58aac4db1dec9d192b1e636d825f87f508f1,2019-10-31 22:13:10+00:00,"['d3', 'dom-to-image-more', 'eventsource-polyfill', 'file-saver', 'handlebars', 'highlight.js', 'paper', 'pretty', 'qrcode', 'quant-ux-cli', 'vue', 'vue-router', 'vue2-ace-editor']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'autoprefixer', 'babel-core', 'babel-eslint', 'babel-jest', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-env', 'babel-preset-stage-2', 'babel-register', 'body-parser', 'compression', 'connect-history-api-fallback', 'cross-spawn', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-vue', 'express', 'extract-text-webpack-plugin', 'html-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'jest', 'shelljs', 'url-loader', 'vue-class-component', 'vue-jest', 'vue-loader', 'vue-property-decorator', 'vue-style-loader', 'vue-template-compiler', 'webpack', 'webpack-bundle-analyzer', 'webpack-dev-middleware', 'webpack-hot-middleware', 'webpack-merge']","['d3', 'dom-to-image-more', 'eventsource-polyfill', 'file-saver', 'handlebars', 'highlight.js', 'paper', 'pretty', 'qrcode', 'quant-ux-cli', 'vue', 'vue-router']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'autoprefixer', 'babel-core', 'babel-eslint', 'babel-jest', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-env', 'babel-preset-stage-2', 'babel-register', 'body-parser', 'compression', 'connect-history-api-fallback', 'cross-spawn', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-vue', 'express', 'extract-text-webpack-plugin', 'html-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'jest', 'shelljs', 'url-loader', 'vue-class-component', 'vue-jest', 'vue-loader', 'vue-property-decorator', 'vue-style-loader', 'vue-template-compiler', 'webpack', 'webpack-bundle-analyzer', 'webpack-dev-middleware', 'webpack-hot-middleware', 'webpack-merge']","{'added': ['vue2-ace-editor'], 'removed': []}","{'added': [], 'removed': []}"
1e4634dce281bde7dfa8a7e9e894da2be3c3d8f2,2020-04-01 18:52:15+00:00,"['bulma', 'core-js', 'd3', 'dom-to-image-more', 'eventsource-polyfill', 'file-saver', 'highlight.js', 'paper', 'pretty', 'qrcode', 'quant-ux-cli', 'vue2-ace-editor', 'vue', 'vue-router']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'babel-eslint', 'eslint', 'eslint-plugin-vue', 'node-sass', 'sass-loader', 'vue-template-compiler', 'body-parser', 'compression', 'express', 'extract-text-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'jest']","['d3', 'dom-to-image-more', 'eventsource-polyfill', 'file-saver', 'handlebars', 'highlight.js', 'paper', 'pretty', 'qrcode', 'quant-ux-cli', 'vue', 'vue-router', 'vue2-ace-editor']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'autoprefixer', 'babel-core', 'babel-eslint', 'babel-jest', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-env', 'babel-preset-stage-2', 'babel-register', 'body-parser', 'compression', 'connect-history-api-fallback', 'cross-spawn', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-vue', 'express', 'extract-text-webpack-plugin', 'html-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'jest', 'shelljs', 'url-loader', 'vue-class-component', 'vue-jest', 'vue-loader', 'vue-property-decorator', 'vue-style-loader', 'vue-template-compiler', 'webpack', 'webpack-bundle-analyzer', 'webpack-dev-middleware', 'webpack-hot-middleware', 'webpack-merge']","{'added': ['bulma', 'core-js'], 'removed': ['handlebars']}","{'added': ['@vue/cli-plugin-router', 'node-sass', 'sass-loader'], 'removed': ['babel-register', 'webpack-merge', 'babel-jest', 'babel-core', 'html-webpack-plugin', 'eslint-config-standard', 'vue-loader', 'eslint-friendly-formatter', 'vue-property-decorator', 'vue-jest', 'webpack-bundle-analyzer', 'babel-loader', 'eslint-loader', 'url-loader', 'webpack', 'webpack-hot-middleware', 'autoprefixer', 'webpack-dev-middleware', 'shelljs', 'cross-spawn', 'babel-plugin-transform-runtime', 'babel-preset-stage-2', 'vue-class-component', 'vue-style-loader', 'babel-preset-env', 'connect-history-api-fallback']}"
2cb41b2400c968f3d7c74f57868b89d4eeb9e4d6,2020-05-28 21:45:06+00:00,"['bulma', 'core-js', 'd3', 'dom-to-image-more', 'eventsource-polyfill', 'file-saver', 'highlight.js', 'paper', 'pretty', 'qrcode', 'quant-ux-cli', 'vue', 'vue-i18n', 'vue-router', 'vue2-ace-editor']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'babel-eslint', 'eslint', 'eslint-plugin-vue', 'node-sass', 'sass-loader', 'vue-template-compiler', 'body-parser', 'compression', 'express', 'extract-text-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'jest']","['bulma', 'core-js', 'd3', 'dom-to-image-more', 'eventsource-polyfill', 'file-saver', 'highlight.js', 'paper', 'pretty', 'qrcode', 'quant-ux-cli', 'vue2-ace-editor', 'vue', 'vue-router']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'babel-eslint', 'eslint', 'eslint-plugin-vue', 'node-sass', 'sass-loader', 'vue-template-compiler', 'body-parser', 'compression', 'express', 'extract-text-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'jest']","{'added': ['vue-i18n'], 'removed': []}","{'added': [], 'removed': []}"
b8861a443458b9aaddadb5056a57d2330082cc0b,2020-12-04 17:43:49+00:00,"['bulma', 'core-js', 'd3', 'dom-to-image-more', 'eventsource-polyfill', 'file-saver', 'highlight.js', 'paper', 'pretty', 'qrcode', 'quant-ux-cli', 'vue', 'vue-i18n', 'vue-router', 'vue2-ace-editor']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'babel-eslint', 'eslint', 'eslint-plugin-vue', 'node-sass', 'sass-loader', 'vue-template-compiler', 'body-parser', 'compression', 'express', 'extract-text-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'jest']","['bulma', 'core-js', 'd3', 'dom-to-image-more', 'eventsource-polyfill', 'file-saver', 'highlight.js', 'paper', 'pretty', 'qrcode', 'quant-ux-cli', 'vue', 'vue-i18n', 'vue-router', 'vue2-ace-editor']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'babel-eslint', 'eslint', 'eslint-plugin-vue', 'node-sass', 'sass-loader', 'vue-template-compiler', 'body-parser', 'compression', 'express', 'extract-text-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'jest']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
ee2fc11baf8fa653b892e44e7ad0a60f535b5b7a,2021-03-14 21:39:54+00:00,"['bulma', 'core-js', 'd3', 'dom-to-image-more', 'eventsource-polyfill', 'file-saver', 'highlight.js', 'paper', 'pretty', 'qrcode', 'quant-ux-cli', 'vue', 'vue-i18n', 'vue-router', 'vue2-ace-editor']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'babel-eslint', 'body-parser', 'compression', 'eslint', 'eslint-plugin-vue', 'express', 'extract-text-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'jest', 'node-sass', 'sass-loader', 'vue-template-compiler']","['bulma', 'core-js', 'd3', 'dom-to-image-more', 'eventsource-polyfill', 'file-saver', 'highlight.js', 'paper', 'pretty', 'qrcode', 'quant-ux-cli', 'vue', 'vue-i18n', 'vue-router', 'vue2-ace-editor']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'babel-eslint', 'eslint', 'eslint-plugin-vue', 'node-sass', 'sass-loader', 'vue-template-compiler', 'body-parser', 'compression', 'express', 'extract-text-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'jest']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
18c58c123af3e09eb1af060daafb698477f1e3e3,2021-03-14 23:15:23+00:00,"['babel-jest', 'bulma', 'core-js', 'd3', 'dom-to-image-more', 'eventsource-polyfill', 'file-saver', 'highlight.js', 'paper', 'pretty', 'qrcode', 'quant-ux-cli', 'vue', 'vue-i18n', 'vue-router', 'vue2-ace-editor']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'babel-eslint', 'body-parser', 'compression', 'eslint', 'eslint-plugin-vue', 'express', 'extract-text-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'jest', 'node-sass', 'sass-loader', 'vue-jest', 'vue-template-compiler']","['bulma', 'core-js', 'd3', 'dom-to-image-more', 'eventsource-polyfill', 'file-saver', 'highlight.js', 'paper', 'pretty', 'qrcode', 'quant-ux-cli', 'vue', 'vue-i18n', 'vue-router', 'vue2-ace-editor']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'babel-eslint', 'body-parser', 'compression', 'eslint', 'eslint-plugin-vue', 'express', 'extract-text-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'jest', 'node-sass', 'sass-loader', 'vue-template-compiler']","{'added': ['babel-jest'], 'removed': []}","{'added': ['vue-jest'], 'removed': []}"
d82e9ef3b455554e6a90b3e9801fb71139bd429b,2021-08-16 21:34:09+00:00,"['babel-jest', 'bulma', 'core-js', 'd3', 'dom-to-image-more', 'eventsource-polyfill', 'file-saver', 'github-api', 'highlight.js', 'paper', 'pretty', 'qrcode', 'quant-ux-cli', 'vue', 'vue-i18n', 'vue-router', 'vue2-ace-editor']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'babel-eslint', 'body-parser', 'compression', 'eslint', 'eslint-plugin-vue', 'express', 'extract-text-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'jest', 'node-sass', 'sass-loader', 'vue-jest', 'vue-template-compiler']","['babel-jest', 'bulma', 'core-js', 'd3', 'dom-to-image-more', 'eventsource-polyfill', 'file-saver', 'highlight.js', 'paper', 'pretty', 'qrcode', 'quant-ux-cli', 'vue', 'vue-i18n', 'vue-router', 'vue2-ace-editor']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'babel-eslint', 'body-parser', 'compression', 'eslint', 'eslint-plugin-vue', 'express', 'extract-text-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'jest', 'node-sass', 'sass-loader', 'vue-jest', 'vue-template-compiler']","{'added': ['github-api'], 'removed': []}","{'added': [], 'removed': []}"
f707db5cd912c93132023f0aaaf3d81aec3c1cb3,2021-08-18 20:46:18+00:00,"['babel-jest', 'bulma', 'core-js', 'd3', 'dom-to-image-more', 'eventsource-polyfill', 'file-saver', 'github-api', 'highlight.js', 'jszip', 'paper', 'pretty', 'qrcode', 'quant-ux-cli', 'vue', 'vue-i18n', 'vue-router', 'vue2-ace-editor']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'babel-eslint', 'body-parser', 'compression', 'eslint', 'eslint-plugin-vue', 'express', 'extract-text-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'jest', 'node-sass', 'sass-loader', 'vue-jest', 'vue-template-compiler']","['babel-jest', 'bulma', 'core-js', 'd3', 'dom-to-image-more', 'eventsource-polyfill', 'file-saver', 'github-api', 'highlight.js', 'paper', 'pretty', 'qrcode', 'quant-ux-cli', 'vue', 'vue-i18n', 'vue-router', 'vue2-ace-editor']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-unit-jest', '@vue/cli-service', '@vue/test-utils', 'babel-eslint', 'body-parser', 'compression', 'eslint', 'eslint-plugin-vue', 'express', 'extract-text-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'jest', 'node-sass', 'sass-loader', 'vue-jest', 'vue-template-compiler']","{'added': ['jszip'], 'removed': []}","{'added': [], 'removed': []}"
